x,y
-45,-46.33
-55,-46.33
-50,-54.33
x,y
106.70,-87.94
109.58,-85.58
110.28,-89.85
105.50,-91.94
102.94,-89.52
105.90,-84.96
126.67,-63.25
130.91,-62.02
130.21,-66.79
124.24,-66.57
123.58,-62.24
125.63,-59.80
103.10,-64.97
103.31,-61.53
107.32,-62.80
106.36,-66.87
101.79,-67.10
100.00,-61.83
105.43,-37.05
109.58,-34.91
109.57,-39.85
105.36,-41.16
101.56,-37.69
104.63,-32.35
136.53,-38.16
140.56,-36.39
139.78,-41.26
134.26,-42.32
132.06,-36.45
135.81,-34.15
153.71,-57.85
158.05,-57.52
155.94,-61.60
151.10,-60.78
149.67,-55.88
153.36,-54.10
141.05,-95.34
145.47,-92.13
145.62,-96.51
142.44,-100.00
137.71,-97.80
138.31,-92.12
